
1001,NÚMERO DA CARTEIRA INVÁLIDO,11/16/2006,,11/16/2006
1002,NÚMERO DO CARTÃO NACIONAL DE SAÚDE INVÁLIDO,11/16/2006,,11/16/2006
1003,A ADMISSÃO DO BENEFICIÁRIO NO PRESTADOR OCORREU ANTES DA INCLUSÃO DO BENEFICIÁRIO NA OPERADORA,11/16/2006,,11/16/2006
1004,SOLICITAÇÃO ANTERIOR À INCLUSÃO DO BENEFICIÁRIO,11/16/2006,,11/16/2006
1005,ATENDIMENTO ANTERIOR À INCLUSÃO DO BENEFICIÁRIO,11/16/2006,,11/16/2006
1006,ATENDIMENTO APÓS O DESLIGAMENTO DO BENEFICIÁRIO,11/16/2006,,11/16/2006
1007,ATENDIMENTO DENTRO DA CARÊNCIA DO BENEFICIÁRIO,11/16/2006,,11/16/2006
1008,ASSINATURA DIVERGENTE,11/16/2006,,11/16/2006
1009,BENEFICIÁRIO COM PAGAMENTO EM ABERTO,11/16/2006,,11/16/2006
1010,ASSINATURA DO TITULAR / RESPONSÁVEL INEXISTENTE,11/16/2006,,11/16/2006
1011,IDENTIFICAÇÃO DO BENEFICIÁRIO NÃO CONSISTENTE,11/16/2006,,11/16/2006
1012,SERVIÇO PROFISSIONAL HOSPITALAR NÃO É COBERTO PELO PLANO DO BENEFICIÁRIO,11/16/2006,,11/16/2006
1013,CADASTRO DO BENEFICIÁRIO COM PROBLEMAS,11/16/2006,,11/16/2006
1014,BENEFICIÁRIO COM DATA DE EXCLUSÃO,11/16/2006,,11/16/2006
1015,IDADE DO BENEFICIÁRIO ACIMA IDADE LIMITE,11/16/2006,,11/16/2006
1016,BENEFICIÁRIO COM ATENDIMENTO SUSPENSO,11/16/2006,,11/16/2006
1017,DATA VALIDADE DA CARTEIRA VENCIDA,11/16/2006,,11/16/2006
1018,EMPRESA DO BENEFICIÁRIO SUSPENSA / EXCLUÍDA,11/16/2006,,11/16/2006
1019,FAMÍLIA DO BENEFICIÁRIO COM ATENDIMENTO SUSPENSO,11/16/2006,,11/16/2006
1020,VIA DE CARTÃO DO BENEFICIÁRIO CANCELADA,11/16/2006,,11/16/2006
1021,VIA DE CARTÃO DO BENEFICIÁRIO NÃO LIBERADA,11/16/2006,,11/16/2006
1022,VIA DE CARTÃO DO BENEFICIÁRIO NÃO COMPATÍVEL,11/16/2006,,11/16/2006
1023,NOME DO TITULAR INVÁLIDO,11/16/2006,,11/16/2006
1024,PLANO NÃO EXISTENTE,11/16/2006,,11/16/2006
1025,BENEFICIÁRIO NÃO POSSUI COBERTURA PARA ASSISTÊNCIA ODONTOLÓGICA,4/1/2013,,8/31/2014
1101,QUANTIDADE DE GUIAS INFORMADAS NO PROTOCOLO DIFERENTE DAS CADASTRADAS,11/16/2006,,11/16/2006
1102,PROTOCOLO É DE RE-APRESENTAÇÃO,11/16/2006,,11/16/2006
1103,PROTOCOLO NÃO É DE REAPRESENTAÇÃO,11/16/2006,,11/16/2006
1104,VALOR TOTAL DO PROTOCOLO DIFERENTE DO VALOR TOTAL DAS GUIAS,11/16/2006,,11/16/2006
1201,ATENDIMENTO FORA DA VIGÊNCIA DO CONTRATO COM O CREDENCIADO,11/16/2006,,11/16/2006
1202,NÚMERO DO CNES INVÁLIDO,11/16/2006,,11/16/2006
1203,CÓDIGO PRESTADOR INVÁLIDO,11/16/2006,,11/16/2006
1204,ADMISSÃO ANTERIOR À INCLUSÃO DO CREDENCIADO NA REDE,11/16/2006,,11/16/2006
1205,ADMISSÃO APÓS O DESLIGAMENTO DO CREDENCIADO DA REDE,11/16/2006,,11/16/2006
1206,CPF / CNPJ INVÁLIDO,11/16/2006,,11/16/2006
1207,CREDENCIADO NÃO PERTENCE À REDE CREDENCIADA,11/16/2006,,11/16/2006
1208,SOLICITAÇÃO ANTERIOR À INCLUSÃO DO CREDENCIADO,11/16/2006,,11/16/2006
1209,SOLICITAÇÃO APÓS O DESLIGAMENTO DO CREDENCIADO,11/16/2006,,11/16/2006
1210,SOLICITANTE CREDENCIADO NÃO CADASTRADO,11/16/2006,,11/16/2006
1211,ASSINATURA / CARIMBO DO CREDENCIADO INEXISTENTE,11/16/2006,,11/16/2006
1212,ATENDIMENTO / REFERÊNCIA FORA DA VIGÊNCIA DO CONTRATO DO PRESTADOR,11/16/2006,,11/16/2006
1213,CBO (ESPECIALIDADE) INVÁLIDO,11/16/2006,,11/16/2006
1214,CREDENCIADO NÃO HABILITADO A REALIZAR O PROCEDIMENTO,11/16/2006,,11/16/2006
1215,CREDENCIADO FORA DA ABRANGÊNCIA GEOGRÁFICA DO PLANO,11/16/2006,,11/16/2006
1216,ESPECIALIDADE NÃO CADASTRADA,11/16/2006,,11/16/2006
1217,ESPECIALIDADE NÃO CADASTRADA PARA O PRESTADOR,11/16/2006,,11/16/2006
1218,CÓDIGO DE PRESTADOR INCOMPATIVEL COM PROCEDIMENTO / EXAME COBRADO,5/1/2014,,8/31/2014
1301,TIPO GUIA INVÁLIDO,11/16/2006,,11/16/2006
1302,CÓDIGO TIPO GUIA PRINCIPAL E NÚMERO GUIAS INCOMPATÍVEIS,11/16/2006,,11/16/2006
1303,NÃO EXISTE O NÚMERO GUIA PRINCIPAL INFORMADO,11/16/2006,,11/16/2006
1304,COBRANÇA EM GUIA INDEVIDA,11/16/2006,,11/16/2006
1305,ITEM PAGO EM OUTRA GUIA,11/16/2006,,11/16/2006
1306,NÃO EXISTE NÚMERO GUIA PRINCIPAL E/OU CÓDIGO GUIA PRINCIPAL,11/16/2006,,11/16/2006
1307,NÚMERO DA GUIA INVÁLIDO,11/16/2006,,11/16/2006
1308,GUIA JÁ APRESENTADA,11/16/2006,,11/16/2006
